state,district,market,commodityGroup,commodity,variety,grade,arrivalDate,minPrice,maxPrice,modalPrice,arrivalQuantity,unit
Gujarat,Anand,Borsad,Cereals,Wheat,Dara,FAQ,2026-08-02,2174,2351,2265,274,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Maize,Yellow,FAQ,2026-08-02,1763,1861,1795,162,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Jowar,White,FAQ,2026-08-02,2520,2787,2660,660,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Wheat,Dara,FAQ,2026-08-02,2148,2376,2271,591,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Bajra,Hybrid,FAQ,2026-08-02,1870,1951,1897,748,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Bajra,Hybrid,FAQ,2026-08-02,1837,2005,1911,514,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Maize,Yellow,FAQ,2026-08-02,1792,1942,1863,562,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Wheat,Dara,FAQ,2026-08-02,2113,2380,2245,704,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Bajra,Hybrid,FAQ,2026-08-02,1825,1969,1900,830,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Maize,Yellow,FAQ,2026-08-02,1799,1917,1838,663,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Jowar,White,FAQ,2026-08-02,2502,2714,2611,876,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Wheat,Dara,FAQ,2026-08-02,2107,2330,2234,130,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Bajra,Hybrid,FAQ,2026-08-02,1862,1958,1924,834,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Maize,Yellow,FAQ,2026-08-02,1784,1910,1862,219,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Jowar,White,FAQ,2026-08-02,2577,2754,2658,602,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Jowar,White,FAQ,2026-08-02,2585,2783,2687,498,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Bajra,Hybrid,FAQ,2026-08-02,1831,1978,1888,396,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Maize,Yellow,FAQ,2026-08-02,1770,1879,1841,275,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Jowar,White,FAQ,2026-08-02,2590,2780,2668,284,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Wheat,Dara,FAQ,2026-08-03,2104,2342,2207,576,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Bajra,Hybrid,FAQ,2026-08-03,1885,2012,1941,602,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Maize,Yellow,FAQ,2026-08-03,1773,1923,1858,298,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Bajra,Hybrid,FAQ,2026-08-03,1812,2034,1930,412,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Maize,Yellow,FAQ,2026-08-03,1759,1943,1834,739,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Bajra,Hybrid,FAQ,2026-08-03,1893,1993,1929,304,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Maize,Yellow,FAQ,2026-08-03,1768,1907,1825,482,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Jowar,White,FAQ,2026-08-03,2559,2731,2629,503,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Maize,Yellow,FAQ,2026-08-03,1783,1919,1831,145,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Bajra,Hybrid,FAQ,2026-08-03,1862,2011,1929,460,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Jowar,White,FAQ,2026-08-03,2500,2749,2620,852,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Bajra,Hybrid,FAQ,2026-08-03,1889,2043,1981,727,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Jowar,White,FAQ,2026-08-03,2537,2727,2615,643,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Bajra,Hybrid,FAQ,2026-08-03,1840,1957,1881,648,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Maize,Yellow,FAQ,2026-08-03,1767,1870,1801,570,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Jowar,White,FAQ,2026-08-03,2523,2708,2633,119,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Bajra,Hybrid,FAQ,2026-08-03,1815,2022,1913,642,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Maize,Yellow,FAQ,2026-08-03,1779,1860,1825,723,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Jowar,White,FAQ,2026-08-03,2566,2740,2649,259,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Bajra,Hybrid,FAQ,2026-08-04,1833,2000,1904,737,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Jowar,White,FAQ,2026-08-04,2596,2709,2632,519,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Bajra,Hybrid,FAQ,2026-08-04,1812,1959,1899,268,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Maize,Yellow,FAQ,2026-08-04,1716,1894,1789,300,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Jowar,White,FAQ,2026-08-04,2520,2756,2652,770,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Wheat,Dara,FAQ,2026-08-04,2183,2367,2255,733,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Maize,Yellow,FAQ,2026-08-04,1784,1863,1811,320,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Jowar,White,FAQ,2026-08-04,2513,2795,2669,209,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Wheat,Dara,FAQ,2026-08-04,2177,2326,2252,258,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Jowar,White,FAQ,2026-08-04,2532,2706,2604,699,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Wheat,Dara,FAQ,2026-08-04,2135,2305,2200,391,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Jowar,White,FAQ,2026-08-04,2594,2756,2690,772,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Wheat,Dara,FAQ,2026-08-04,2101,2314,2191,757,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Maize,Yellow,FAQ,2026-08-04,1747,1924,1850,201,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Jowar,White,FAQ,2026-08-04,2505,2739,2625,865,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Bajra,Hybrid,FAQ,2026-08-04,1845,1976,1905,732,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Maize,Yellow,FAQ,2026-08-04,1799,1921,1866,685,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Bajra,Hybrid,FAQ,2026-08-04,1820,1972,1902,75,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Maize,Yellow,FAQ,2026-08-04,1742,1950,1852,871,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Bajra,Hybrid,FAQ,2026-08-05,1820,2050,1921,441,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Wheat,Dara,FAQ,2026-08-05,2158,2344,2250,890,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Maize,Yellow,FAQ,2026-08-05,1703,1934,1810,458,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Jowar,White,FAQ,2026-08-05,2508,2798,2650,409,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Bajra,Hybrid,FAQ,2026-08-05,1868,1992,1911,168,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Jowar,White,FAQ,2026-08-05,2574,2733,2635,161,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Wheat,Dara,FAQ,2026-08-05,2144,2393,2268,496,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Maize,Yellow,FAQ,2026-08-05,1749,1923,1828,310,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Jowar,White,FAQ,2026-08-05,2555,2700,2640,875,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Wheat,Dara,FAQ,2026-08-05,2192,2394,2285,422,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Bajra,Hybrid,FAQ,2026-08-05,1885,1992,1957,371,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Jowar,White,FAQ,2026-08-05,2538,2764,2650,732,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Wheat,Dara,FAQ,2026-08-05,2151,2389,2268,617,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Bajra,Hybrid,FAQ,2026-08-05,1853,2035,1948,743,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Jowar,White,FAQ,2026-08-05,2572,2738,2660,611,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Bajra,Hybrid,FAQ,2026-08-05,1826,2005,1932,671,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Jowar,White,FAQ,2026-08-05,2556,2786,2664,573,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Wheat,Dara,FAQ,2026-08-05,2194,2321,2242,340,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Bajra,Hybrid,FAQ,2026-08-05,1881,2029,1956,145,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Bajra,Hybrid,FAQ,2026-08-06,1825,1968,1877,97,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Maize,Yellow,FAQ,2026-08-06,1760,1928,1828,516,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Jowar,White,FAQ,2026-08-06,2580,2773,2668,785,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Bajra,Hybrid,FAQ,2026-08-06,1831,1968,1879,818,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Bajra,Hybrid,FAQ,2026-08-06,1889,2016,1961,101,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Maize,Yellow,FAQ,2026-08-06,1715,1908,1799,870,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Jowar,White,FAQ,2026-08-06,2567,2771,2687,374,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Wheat,Dara,FAQ,2026-08-06,2170,2357,2253,811,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Maize,Yellow,FAQ,2026-08-06,1796,1881,1858,333,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Wheat,Dara,FAQ,2026-08-06,2180,2330,2252,500,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Bajra,Hybrid,FAQ,2026-08-06,1836,1980,1905,393,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Maize,Yellow,FAQ,2026-08-06,1769,1860,1802,204,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Jowar,White,FAQ,2026-08-06,2588,2719,2646,115,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Wheat,Dara,FAQ,2026-08-06,2142,2369,2264,475,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Bajra,Hybrid,FAQ,2026-08-06,1853,1999,1943,762,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Maize,Yellow,FAQ,2026-08-06,1797,1923,1864,538,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Jowar,White,FAQ,2026-08-06,2545,2738,2645,479,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Wheat,Dara,FAQ,2026-08-06,2194,2369,2299,275,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Bajra,Hybrid,FAQ,2026-08-06,1834,2005,1930,79,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Maize,Yellow,FAQ,2026-08-06,1785,1936,1865,791,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Jowar,White,FAQ,2026-08-06,2559,2716,2656,596,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Wheat,Dara,FAQ,2026-08-07,2150,2375,2278,728,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Bajra,Hybrid,FAQ,2026-08-07,1882,2004,1931,522,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Maize,Yellow,FAQ,2026-08-07,1733,1898,1815,266,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Jowar,White,FAQ,2026-08-07,2543,2797,2674,334,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Maize,Yellow,FAQ,2026-08-07,1710,1910,1791,817,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Jowar,White,FAQ,2026-08-07,2544,2728,2620,849,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Bajra,Hybrid,FAQ,2026-08-07,1803,1981,1884,70,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Jowar,White,FAQ,2026-08-07,2560,2785,2659,627,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Bajra,Hybrid,FAQ,2026-08-07,1832,2048,1943,221,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Maize,Yellow,FAQ,2026-08-07,1739,1863,1818,76,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Wheat,Dara,FAQ,2026-08-07,2148,2350,2241,127,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Bajra,Hybrid,FAQ,2026-08-07,1880,1981,1916,763,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Bajra,Hybrid,FAQ,2026-08-07,1872,2050,1943,405,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Maize,Yellow,FAQ,2026-08-07,1784,1897,1824,568,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Wheat,Dara,FAQ,2026-08-07,2153,2362,2243,493,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Bajra,Hybrid,FAQ,2026-08-08,1893,2016,1951,680,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Jowar,White,FAQ,2026-08-08,2561,2759,2667,895,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Bajra,Hybrid,FAQ,2026-08-08,1831,1961,1893,511,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Maize,Yellow,FAQ,2026-08-08,1759,1922,1859,734,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Jowar,White,FAQ,2026-08-08,2503,2763,2633,236,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Wheat,Dara,FAQ,2026-08-08,2145,2333,2240,336,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Jowar,White,FAQ,2026-08-08,2501,2766,2625,137,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Wheat,Dara,FAQ,2026-08-08,2152,2362,2272,826,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Bajra,Hybrid,FAQ,2026-08-08,1860,2032,1957,508,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Jowar,White,FAQ,2026-08-08,2528,2751,2634,363,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Bajra,Hybrid,FAQ,2026-08-08,1870,2017,1945,485,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Jowar,White,FAQ,2026-08-08,2545,2789,2676,327,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Wheat,Dara,FAQ,2026-08-08,2129,2315,2214,373,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Bajra,Hybrid,FAQ,2026-08-08,1868,2047,1948,246,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Maize,Yellow,FAQ,2026-08-08,1761,1885,1840,828,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Jowar,White,FAQ,2026-08-08,2536,2712,2616,353,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Wheat,Dara,FAQ,2026-08-08,2122,2338,2210,775,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Bajra,Hybrid,FAQ,2026-08-08,1835,1955,1878,616,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Maize,Yellow,FAQ,2026-08-08,1716,1931,1834,155,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Wheat,Dara,FAQ,2026-08-08,2160,2361,2268,398,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Bajra,Hybrid,FAQ,2026-08-08,1806,1982,1904,166,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Jowar,White,FAQ,2026-08-08,2509,2773,2661,752,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Wheat,Dara,FAQ,2026-08-09,2119,2372,2244,137,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Maize,Yellow,FAQ,2026-08-09,1797,1903,1868,660,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Wheat,Dara,FAQ,2026-08-09,2166,2348,2265,503,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Bajra,Hybrid,FAQ,2026-08-09,1875,2004,1938,632,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Maize,Yellow,FAQ,2026-08-09,1727,1883,1790,210,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Jowar,White,FAQ,2026-08-09,2570,2709,2629,52,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Wheat,Dara,FAQ,2026-08-09,2188,2376,2292,348,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Bajra,Hybrid,FAQ,2026-08-09,1836,2040,1936,769,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Jowar,White,FAQ,2026-08-09,2529,2733,2651,653,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Maize,Yellow,FAQ,2026-08-09,1769,1878,1812,322,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Wheat,Dara,FAQ,2026-08-09,2121,2339,2248,816,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Jowar,White,FAQ,2026-08-09,2559,2788,2672,766,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Wheat,Dara,FAQ,2026-08-09,2134,2364,2263,555,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Bajra,Hybrid,FAQ,2026-08-09,1876,1955,1922,802,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Maize,Yellow,FAQ,2026-08-09,1732,1853,1777,284,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Bajra,Hybrid,FAQ,2026-08-09,1802,2047,1921,640,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Maize,Yellow,FAQ,2026-08-09,1796,1872,1844,581,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Bajra,Hybrid,FAQ,2026-08-10,1874,2005,1959,883,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Maize,Yellow,FAQ,2026-08-10,1711,1910,1812,468,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Jowar,White,FAQ,2026-08-10,2585,2713,2639,387,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Wheat,Dara,FAQ,2026-08-10,2163,2336,2254,883,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Maize,Yellow,FAQ,2026-08-10,1711,1890,1796,381,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Jowar,White,FAQ,2026-08-10,2598,2751,2686,894,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Maize,Yellow,FAQ,2026-08-10,1752,1856,1796,580,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Jowar,White,FAQ,2026-08-10,2596,2763,2699,502,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Bajra,Hybrid,FAQ,2026-08-10,1870,1966,1916,498,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Jowar,White,FAQ,2026-08-10,2503,2780,2659,868,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Wheat,Dara,FAQ,2026-08-10,2120,2339,2244,64,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Bajra,Hybrid,FAQ,2026-08-10,1811,1978,1881,522,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Wheat,Dara,FAQ,2026-08-10,2191,2337,2276,772,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Bajra,Hybrid,FAQ,2026-08-10,1861,2010,1930,517,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Maize,Yellow,FAQ,2026-08-10,1749,1874,1829,570,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Wheat,Dara,FAQ,2026-08-10,2108,2335,2227,398,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Maize,Yellow,FAQ,2026-08-10,1700,1886,1792,651,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Jowar,White,FAQ,2026-08-10,2584,2762,2662,507,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Wheat,Dara,FAQ,2026-08-10,2144,2342,2258,831,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Bajra,Hybrid,FAQ,2026-08-10,1858,1991,1916,764,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Maize,Yellow,FAQ,2026-08-10,1749,1879,1820,94,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Jowar,White,FAQ,2026-08-10,2560,2790,2679,445,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Jowar,White,FAQ,2026-08-11,2504,2716,2622,654,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Wheat,Dara,FAQ,2026-08-11,2112,2356,2220,588,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Maize,Yellow,FAQ,2026-08-11,1718,1902,1799,126,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Jowar,White,FAQ,2026-08-11,2533,2743,2657,759,Rs./Quintal
Gujarat,Ahmedabad,Ahmedabad,Cereals,Wheat,Dara,FAQ,2026-08-11,2110,2342,2240,439,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Wheat,Dara,FAQ,2026-08-11,2169,2304,2255,120,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Bajra,Hybrid,FAQ,2026-08-11,1887,1986,1930,814,Rs./Quintal
Gujarat,Ahmedabad,Dholka,Cereals,Maize,Yellow,FAQ,2026-08-11,1712,1947,1849,770,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Wheat,Dara,FAQ,2026-08-11,2188,2338,2244,97,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Bajra,Hybrid,FAQ,2026-08-11,1807,1987,1899,433,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Maize,Yellow,FAQ,2026-08-11,1731,1917,1830,629,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Wheat,Dara,FAQ,2026-08-11,2122,2310,2235,441,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Maize,Yellow,FAQ,2026-08-11,1774,1868,1815,522,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Wheat,Dara,FAQ,2026-08-11,2185,2301,2252,344,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Maize,Yellow,FAQ,2026-08-11,1756,1894,1842,356,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Wheat,Dara,FAQ,2026-08-11,2132,2358,2244,253,Rs./Quintal
Gujarat,Vadodara,Vadodara,Cereals,Jowar,White,FAQ,2026-08-11,2548,2773,2662,638,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Wheat,Dara,FAQ,2026-08-12,2189,2337,2244,899,Rs./Quintal
Gujarat,Anand,Anand,Cereals,Maize,Yellow,FAQ,2026-08-12,1772,1937,1837,670,Rs./Quintal
Gujarat,Anand,Borsad,Cereals,Jowar,White,FAQ,2026-08-12,2545,2728,2656,244,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Wheat,Dara,FAQ,2026-08-12,2156,2304,2247,423,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Maize,Yellow,FAQ,2026-08-12,1737,1891,1820,229,Rs./Quintal
Gujarat,Rajkot,Rajkot,Cereals,Jowar,White,FAQ,2026-08-12,2600,2769,2687,593,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Wheat,Dara,FAQ,2026-08-12,2134,2321,2223,894,Rs./Quintal
Gujarat,Rajkot,Gondal,Cereals,Jowar,White,FAQ,2026-08-12,2543,2714,2637,127,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Wheat,Dara,FAQ,2026-08-12,2128,2386,2262,873,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Bajra,Hybrid,FAQ,2026-08-12,1811,2000,1885,320,Rs./Quintal
Gujarat,Surat,Surat,Cereals,Maize,Yellow,FAQ,2026-08-12,1758,1897,1823,648,Rs./Quintal
